Was ist eine Datenstruktur? {Baum; Busch; Hecke; Wiese} 0
Was ist Java? {Firma; Essen; ProgrammierSprache} 2
Was bedeutet HTML ausgeschrieben ?{Hypertext Main Logic; HyperText Markup Language; Hausgemachte Tanzende Mäuse Lampe} 1
Wie wird eine Webseite designed ?{CSS; PHP; Python} 0
Welche der 3 Arten von Dialogen gibt es nicht? {Dialog<Klasse>; SwitchDialog; ChoiceDialog} 1
Wie erfolgt die Konvertierung von ArrayList zu ObservableList {FXCollections.observableArrayList(); Collections.observableList(); FXCollections.toArrayList()} 0
Was enthält die Klasse MyPane(View)? {GUI-Fenster; Funktionen; Datensätze} 0
Eine kleine Aufgabe, gegeben ein StringProperty name=new SimpleStringProperty. Ergänzen sie die setMethode! {this.name=name; this.name.set(name); this.name.get()} 1
Gegeben sind zwei Klassen(Auto und KFZ).Wie kann die Klasse Auto von KFZ erben {Auto extends KFZ; Auto implements KFZ; KFZ extends Auto} 1
Wie könnte man  unsere Eingabefelder mit Labels binden? {feld.bindBiDirectional(label); feld.textProperty.bindBiDirectional(label.textProperty); Ich weiß es nicht} 1
Just-in-time Compilierung verbesserte die Leitungsfähigkeit von Sprachen, die in Programmen in Bytecode übersetzen {Java; C#; Smalltalk} 2
Wie instanziert einen Button? {Button b=b; Button b=new Button(); this.b=b} 1
Wie kann man den einen GridPane(gp) in einen Dialog hinzufügen? {getDialogPane().setContent(gp); getDialogPane().add(gp); getDialogPane().getChildren().add(gp)} 0
Können abstrakte Klassen von anderen Klassen Variablen erben? {Ja; Nein; Vielleicht} 1
Folgendes gegeben: Klasse a=new Klasse(); System.out.println(a.toString). Was wird ausgegeben? {Instanz der Klasse; a; Variablen der Klasse} 0
Wie fängt man mit der Klasse Handler an? {Klasse implements new EventHandler<ActionEvent>; klasse extends EventHandler<ActionEvent>; klasse extends EventHandler()} 0
